Day,Adult Number,S_Adults,E_Adults,I_Adults,R_Adults,D_Adults
0,300,0,198,102,0,0
1,300,0,396,204,0,0
1,300,0,650,250,0,0
2,300,0,904,296,0,0
2,300,0,1102,398,0,0
3,300,0,1300,500,0,0
3,300,0,1554,546,0,0
4,300,0,1808,592,0,0
4,300,0,2006,694,0,0
5,300,0,2204,796,0,0
5,300,0,2458,842,0,0
6,300,0,2712,888,0,0
6,300,0,2910,990,0,0
7,300,0,3108,1092,0,0
7,300,0,3362,1138,0,0
8,300,0,3616,1184,0,0
8,300,0,3814,1286,0,0
9,300,0,4012,1388,0,0
9,300,0,4266,1434,0,0
10,300,0,4520,1480,0,0
10,300,0,4718,1582,0,0
11,300,0,4916,1684,0,0
11,300,0,5170,1730,0,0
12,300,0,5424,1776,0,0
