Day,Children Number,S_Children,E_Children,I_Children,R_Children,D_Children
0,102,46,0,56,0,0
1,102,92,0,112,0,0
1,102,138,46,122,0,0
2,102,184,92,132,0,0
2,102,230,92,188,0,0
3,102,276,92,244,0,0
3,102,322,138,254,0,0
4,102,368,184,264,0,0
4,102,414,184,320,0,0
5,102,460,184,376,0,0
5,102,506,230,386,0,0
6,102,552,276,396,0,0
6,102,598,276,452,0,0
7,102,644,276,508,0,0
7,102,690,322,518,0,0
8,102,736,368,528,0,0
8,102,782,368,584,0,0
9,102,828,368,640,0,0
9,102,874,414,650,0,0
10,102,920,460,660,0,0
10,102,966,460,716,0,0
11,102,1012,460,772,0,0
11,102,1058,506,782,0,0
12,102,1104,552,792,0,0
