Day,Teen Number,S_Teens,E_Teens,I_Teens,R_Teens,D_Teens
0,50,26,0,24,0,0
1,50,52,0,48,0,0
1,50,78,0,72,0,0
2,50,104,0,96,0,0
2,50,130,0,120,0,0
3,50,156,0,144,0,0
3,50,182,0,168,0,0
4,50,208,0,192,0,0
4,50,234,0,216,0,0
5,50,260,0,240,0,0
5,50,286,0,264,0,0
6,50,312,0,288,0,0
6,50,338,0,312,0,0
7,50,364,0,336,0,0
7,50,390,0,360,0,0
8,50,416,0,384,0,0
8,50,442,0,408,0,0
9,50,468,0,432,0,0
9,50,494,0,456,0,0
10,50,520,0,480,0,0
10,50,546,0,504,0,0
11,50,572,0,528,0,0
11,50,598,0,552,0,0
12,50,624,0,576,0,0
